Computerkey,PrincipalNm,VolumeNm,LogicalDiskNm,LogicalDiskDesc,DeviceId,LogicalDiskSizeNbr
3837,VRTVA1492.odd.svc.company.com,,Z:,CD-ROM Disc,Z:,NULL
3837,VRTVA1492.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61436
4090,STRDS6104.odd.svc.company.com,,D:,Local Fixed Disk,D:,40956
4090,STRDS6104.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
4090,STRDS6104.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61436
4090,STRDS6104.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
4090,STRDS6104.odd.svc.company.com,,D:\Data\RSDB,Mounted Disk,D:\Data\RSDB,NULL
4090,STRDS6104.odd.svc.company.com,,D:\Temp,Mounted Disk,D:\Temp,NULL
4090,STRDS6104.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4090,STRDS6104.odd.svc.company.com,,D:\Data\RSTemp,Mounted Disk,D:\Data\RSTemp,NULL
4332,STRVA6137.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4332,STRVA6137.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,40956
4332,STRVA6137.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,40957
4338,STRWS6106.odd.svc.company.com,,D:,Local Fixed Disk,D:,61436
4338,STRWS6106.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
4338,STRWS6106.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4389,POFDS3734.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
4389,POFDS3734.odd.svc.company.com,APPS,D:,Local Fixed Disk,D:,20476
4389,POFDS3734.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
4389,POFDS3734.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
4389,POFDS3734.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
4389,POFDS3734.odd.svc.company.com,,H:,CD-ROM Disc,H:,NULL
4405,CTCVD6511.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,307203
4766,VRTVW1658.odd.svc.company.com,,E:,CD-ROM Disc,E:,NULL
4766,VRTVW1658.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61436
4766,VRTVW1658.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
4766,VRTVW1658.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,30716
4784,STRWS6107.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
4784,STRWS6107.odd.svc.company.com,,D:,Local Fixed Disk,D:,30716
4784,STRWS6107.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4957,BG6RS1102.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
4957,BG6RS1102.odd.svc.company.com,,E:,CD-ROM Disc,E:,NULL
4957,BG6RS1102.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,7134
4957,BG6RS1102.odd.svc.company.com,,C:,Local Fixed Disk,C:,20481
4961,STRWS6105.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,61436
4961,STRWS6105.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4961,STRWS6105.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
4968,STRDS6105.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
4968,STRDS6105.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
4968,STRDS6105.odd.svc.company.com,,D:,Local Fixed Disk,D:,30717
4968,STRDS6105.odd.svc.company.com,,D:\Log,Mounted Disk,D:\Log,NULL
4968,STRDS6105.odd.svc.company.com,,D:\TempDB,Mounted Disk,D:\TempDB,NULL
4968,STRDS6105.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61436
5190,BG6RS1201.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,10236
5190,BG6RS1201.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
5190,BG6RS1201.odd.svc.company.com,,F:,CD-ROM Disc,F:,NULL
5190,BG6RS1201.odd.svc.company.com,,C:,Local Fixed Disk,C:,20489
5370,STRWS6108.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,81917
5370,STRWS6108.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
5370,STRWS6108.odd.svc.company.com,,D:,Local Fixed Disk,D:,30716
5399,BG6DS1114.odd.svc.company.com,OSDisk,E:,RAM Disk,E:,61437
5585,VRTVA1461.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,61437
5585,VRTVA1461.odd.svc.company.com,,Z:,CD-ROM Disc,Z:,NULL
5585,VRTVA1461.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,130941
5585,VRTVA1461.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
5615,BG6RS1101.odd.svc.company.com,,A:,3 1/2 Inch Floppy Drive,A:,NULL
5615,BG6RS1101.odd.svc.company.com,,C:,Local Fixed Disk,C:,20481
5615,BG6RS1101.odd.svc.company.com,,E:,CD-ROM Disc,E:,NULL
5615,BG6RS1101.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,10236
5701,STRVA6138.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,40957
5701,STRVA6138.odd.svc.company.com,,R:,CD-ROM Disc,R:,NULL
5701,STRVA6138.odd.svc.company.com,New Volume,D:,Local Fixed Disk,D:,40956
5827,STRVD6117.odd.svc.company.com,,D:\Temp,Mounted Disk,D:\Temp,NULL
5827,STRVD6117.odd.svc.company.com,OSDisk,C:,Local Fixed Disk,C:,40957
5827,STRVD6117.odd.svc.company.com,,F:,CD-ROM Disc,F:,NULL
5827,STRVD6117.odd.svc.company.com,,D:\Data,Mounted Disk,D:\Data,NULL
