Computerkey,PrincipalNm,ModelNm,DisplayNm,MediaTypeDesc,DeviceId,PhysicalDiskNm,PhysicalDiskSizeNbr,DiskID
5290,VRTVA1468.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE23,Fixed hard disk media,\\.\PHYSICALDRIVE23,\\.\PHYSICALDRIVE23,2,129
5290,VRTVA1468.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,40954,130
5370,STRWS6108.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,34851,131
5370,STRWS6108.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,61436,132
5370,STRWS6108.odd.svc.company.com,FALCON IPSTOR DISK  Multi-Path Disk Device,PHYSICALDRIVE5,Fixed hard disk media,\\.\PHYSICALDRIVE5,\\.\PHYSICALDRIVE5,470607,133
5370,STRWS6108.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,134
5399,BG6DS1114.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,71672,135
5399,BG6DS1114.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,153598,136
5585,VRTVA1461.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE20,Fixed hard disk media,\\.\PHYSICALDRIVE20,\\.\PHYSICALDRIVE20,278878,137
5585,VRTVA1461.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,138
5585,VRTVA1461.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,139
5585,VRTVA1461.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,1024,140
5585,VRTVA1461.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,20473,141
5642,VRTVW1458.odd.svc.company.com,ST3250318AS ATA Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,238417,142
5642,VRTVW1458.odd.svc.company.com,EMC SYMMETRIX SCSI Disk Device,PHYSICALDRIVE11,Fixed hard disk media,\\.\PHYSICALDRIVE11,\\.\PHYSICALDRIVE11,2,143
5701,STRVA6138.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE9,Fixed hard disk media,\\.\PHYSICALDRIVE9,\\.\PHYSICALDRIVE9,61436,144
5701,STRVA6138.odd.svc.company.com,DELL PERC H710 SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,139384,145
5731,VRTVD3940.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,102398,146
5731,VRTVD3940.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,51199,147
5731,VRTVD3940.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,1887433,148
5731,VRTVD3940.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,149
5731,VRTVD3940.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,30718,150
5827,STRVD6117.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,40954,151
5827,STRVD6117.odd.svc.company.com,PowerDevice by PowerPath,PHYSICALDRIVE27,Fixed hard disk media,\\.\PHYSICALDRIVE27,\\.\PHYSICALDRIVE27,307196,152
5940,CTCVD6705.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,40954,153
5940,CTCVD6705.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,154
5988,CTCVW6303.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,25595,155
5988,CTCVW6303.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,51199,156
6135,BG6VD1014.odd.svc.company.com,FALCON IPSTOR DISK  Multi-Path Disk Device,PHYSICALDRIVE6,Fixed hard disk media,\\.\PHYSICALDRIVE6,\\.\PHYSICALDRIVE6,278878,157
6135,BG6VD1014.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE4,Fixed hard disk media,\\.\PHYSICALDRIVE4,\\.\PHYSICALDRIVE4,6142,158
6135,BG6VD1014.odd.svc.company.com,EMC SYMMETRIX SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,2,159
6147,CTCVW6511.odd.svc.company.com,HP P2000 G3 FC SCSI Disk Device,PHYSICALDRIVE27,Fixed hard disk media,\\.\PHYSICALDRIVE27,\\.\PHYSICALDRIVE27,47677,160
6147,CTCVW6511.odd.svc.company.com,HP MSA2012fc SCSI Disk Device,PHYSICALDRIVE49,Fixed hard disk media,\\.\PHYSICALDRIVE49,\\.\PHYSICALDRIVE49,196003,161
6194,CTCVW6575.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,162
6194,CTCVW6575.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,40954,163
7467,VRTVD5022.odd.svc.company.com,HP MSA2012fc  Multi-Path Disk Device,PHYSICALDRIVE7,Fixed hard disk media,\\.\PHYSICALDRIVE7,\\.\PHYSICALDRIVE7,954102,164
7467,VRTVD5022.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,81917,165
7467,VRTVD5022.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,20473,166
7467,VRTVD5022.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE1,Fixed hard disk media,\\.\PHYSICALDRIVE1,\\.\PHYSICALDRIVE1,81917,167
7467,VRTVD5022.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,1024,168
7596,VRTVA4963.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,169
7596,VRTVA4963.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,40954,170
7632,VRTVA4962.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,51199,171
7632,VRTVA4962.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE0,Fixed hard disk media,\\.\PHYSICALDRIVE0,\\.\PHYSICALDRIVE0,61436,172
7632,VRTVA4962.odd.svc.company.com,FALCON IPSTOR DISK SCSI Disk Device,PHYSICALDRIVE65,Fixed hard disk media,\\.\PHYSICALDRIVE65,\\.\PHYSICALDRIVE65,156665,173
7632,VRTVA4962.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE2,Fixed hard disk media,\\.\PHYSICALDRIVE2,\\.\PHYSICALDRIVE2,30718,174
7634,VRTVA4989.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE3,Fixed hard disk media,\\.\PHYSICALDRIVE3,\\.\PHYSICALDRIVE3,3067,175
7634,VRTVA4989.odd.svc.company.com,VMware Virtual disk SCSI Disk Device,PHYSICALDRIVE8,Fixed hard disk media,\\.\PHYSICALDRIVE8,\\.\PHYSICALDRIVE8,34812,176
